[runlim] version:		1.10
[runlim] time limit:		311040000 seconds
[runlim] real time limit:	14400 seconds
[runlim] space limit:		15860 MB
[runlim] argv[0]:		python
[runlim] argv[1]:		run_benchmark_B.py
[runlim] argv[2]:		cplex
[runlim] start:			Sat Apr  4 17:01:42 2026
[runlim] main pid:		642242
[runlim] sample:		9.1 time, 10.0 real, 112.6 MB
[runlim] sample:		18.4 time, 20.0 real, 115.5 MB
[runlim] sample:		28.1 time, 30.0 real, 119.1 MB
[runlim] sample:		37.6 time, 40.0 real, 121.5 MB
[runlim] sample:		47.1 time, 50.0 real, 123.8 MB
[runlim] sample:		57.0 time, 60.0 real, 132.8 MB
[runlim] sample:		66.9 time, 70.0 real, 135.8 MB
[runlim] sample:		76.8 time, 80.0 real, 139.0 MB
[runlim] sample:		86.8 time, 90.0 real, 142.0 MB
[runlim] sample:		96.7 time, 100.0 real, 143.8 MB
[runlim] sample:		106.4 time, 110.0 real, 146.2 MB
[runlim] sample:		116.2 time, 120.0 real, 145.0 MB
[runlim] sample:		126.0 time, 130.0 real, 145.5 MB
[runlim] sample:		135.9 time, 140.0 real, 145.5 MB
[runlim] sample:		145.8 time, 150.0 real, 145.5 MB
[runlim] sample:		155.7 time, 160.0 real, 145.5 MB
[runlim] sample:		165.4 time, 170.0 real, 145.6 MB
[runlim] sample:		175.3 time, 180.0 real, 145.6 MB
[runlim] sample:		185.2 time, 190.0 real, 146.1 MB
[runlim] sample:		195.2 time, 200.0 real, 146.7 MB
[runlim] sample:		205.1 time, 210.0 real, 146.8 MB
[runlim] sample:		215.0 time, 220.0 real, 146.8 MB
[runlim] sample:		224.9 time, 230.0 real, 146.8 MB
[runlim] sample:		234.8 time, 240.0 real, 146.8 MB
[runlim] sample:		244.6 time, 250.0 real, 146.8 MB
[runlim] sample:		254.6 time, 260.0 real, 146.8 MB
[runlim] sample:		264.6 time, 270.0 real, 146.8 MB
[runlim] sample:		274.5 time, 280.0 real, 146.8 MB
[runlim] sample:		284.3 time, 290.0 real, 147.0 MB
[runlim] sample:		294.2 time, 300.0 real, 147.1 MB
[runlim] sample:		304.2 time, 310.0 real, 147.6 MB
[runlim] sample:		314.1 time, 320.0 real, 147.6 MB
[runlim] sample:		324.1 time, 330.0 real, 147.6 MB
[runlim] sample:		334.0 time, 340.0 real, 148.7 MB
[runlim] sample:		343.8 time, 350.0 real, 151.5 MB
[runlim] sample:		353.7 time, 360.0 real, 151.6 MB
[runlim] sample:		363.5 time, 370.0 real, 151.8 MB
[runlim] sample:		373.4 time, 380.0 real, 152.5 MB
[runlim] sample:		383.2 time, 390.0 real, 153.3 MB
