[runlim] version:		1.10
[runlim] time limit:		311040000 seconds
[runlim] real time limit:	36000 seconds
[runlim] space limit:		15860 MB
[runlim] argv[0]:		python
[runlim] argv[1]:		run_benchmark_P.py
[runlim] argv[2]:		gurobi
[runlim] start:			Mon May 11 03:19:47 2026
[runlim] main pid:		19228
[runlim] sample:		7.8 time, 10.5 real, 80.2 MB
[runlim] sample:		17.2 time, 20.5 real, 87.5 MB
[runlim] sample:		26.9 time, 30.5 real, 87.7 MB
[runlim] sample:		36.2 time, 40.5 real, 88.6 MB
[runlim] sample:		45.4 time, 50.5 real, 89.1 MB
[runlim] sample:		55.0 time, 60.5 real, 89.1 MB
[runlim] sample:		63.8 time, 70.6 real, 89.1 MB
[runlim] sample:		73.3 time, 80.5 real, 89.2 MB
[runlim] sample:		83.2 time, 90.5 real, 82.3 MB
[runlim] sample:		93.1 time, 100.5 real, 83.3 MB
[runlim] sample:		102.5 time, 110.5 real, 89.0 MB
[runlim] sample:		112.4 time, 120.5 real, 91.6 MB
[runlim] sample:		122.3 time, 130.5 real, 95.3 MB
[runlim] sample:		131.9 time, 140.5 real, 80.1 MB
[runlim] sample:		141.9 time, 150.5 real, 81.9 MB
[runlim] sample:		151.9 time, 160.5 real, 83.3 MB
[runlim] sample:		161.8 time, 170.5 real, 84.0 MB
[runlim] sample:		171.8 time, 180.5 real, 84.1 MB
[runlim] sample:		181.7 time, 190.5 real, 84.9 MB
[runlim] sample:		191.6 time, 200.5 real, 84.9 MB
[runlim] sample:		201.3 time, 210.5 real, 84.9 MB
[runlim] sample:		211.3 time, 220.5 real, 84.9 MB
[runlim] sample:		221.2 time, 230.5 real, 87.1 MB
[runlim] sample:		231.0 time, 240.5 real, 88.4 MB
[runlim] sample:		241.0 time, 250.5 real, 88.8 MB
[runlim] sample:		250.8 time, 260.5 real, 88.9 MB
[runlim] sample:		260.8 time, 270.5 real, 88.9 MB
[runlim] sample:		270.7 time, 280.5 real, 90.0 MB
[runlim] sample:		280.5 time, 290.5 real, 88.4 MB
[runlim] sample:		290.5 time, 300.5 real, 88.6 MB
[runlim] sample:		300.2 time, 310.5 real, 89.0 MB
[runlim] sample:		310.1 time, 320.5 real, 89.0 MB
[runlim] sample:		320.0 time, 330.5 real, 80.1 MB
[runlim] sample:		329.9 time, 340.5 real, 81.6 MB
[runlim] sample:		339.9 time, 350.5 real, 84.1 MB
[runlim] sample:		349.9 time, 360.5 real, 88.2 MB
[runlim] sample:		359.9 time, 370.5 real, 93.8 MB
[runlim] sample:		369.9 time, 380.5 real, 99.9 MB
[runlim] sample:		379.9 time, 390.5 real, 100.3 MB
[runlim] sample:		389.9 time, 400.5 real, 100.3 MB
[runlim] sample:		399.8 time, 410.5 real, 100.3 MB
[runlim] sample:		409.7 time, 420.5 real, 91.0 MB
[runlim] sample:		419.5 time, 430.5 real, 91.8 MB
[runlim] sample:		429.4 time, 440.5 real, 91.8 MB
[runlim] sample:		439.2 time, 450.5 real, 91.8 MB
[runlim] sample:		449.1 time, 460.5 real, 91.8 MB
[runlim] sample:		458.9 time, 470.5 real, 97.0 MB
[runlim] sample:		468.6 time, 480.5 real, 100.6 MB
[runlim] sample:		478.6 time, 490.5 real, 100.7 MB
[runlim] sample:		488.5 time, 500.5 real, 100.7 MB
[runlim] sample:		498.4 time, 510.5 real, 100.7 MB
[runlim] sample:		508.4 time, 520.5 real, 100.7 MB
[runlim] sample:		518.4 time, 530.5 real, 100.8 MB
[runlim] sample:		528.3 time, 540.5 real, 101.0 MB
