[runlim] version:		1.10
[runlim] time limit:		311040000 seconds
[runlim] real time limit:	14400 seconds
[runlim] space limit:		15860 MB
[runlim] argv[0]:		python
[runlim] argv[1]:		run_benchmark_B.py
[runlim] argv[2]:		pysat
[runlim] start:			Sat Apr  4 17:01:42 2026
[runlim] main pid:		642243
[runlim] sample:		9.4 time, 10.0 real, 101.9 MB
[runlim] sample:		13.8 time, 20.0 real, 121.9 MB
[runlim] sample:		13.3 time, 30.0 real, 123.2 MB
[runlim] sample:		22.9 time, 40.0 real, 129.5 MB
[runlim] sample:		32.4 time, 50.0 real, 131.1 MB
[runlim] sample:		42.3 time, 60.0 real, 139.7 MB
[runlim] sample:		52.3 time, 70.0 real, 146.8 MB
[runlim] sample:		62.1 time, 80.0 real, 146.8 MB
[runlim] sample:		13.5 time, 90.0 real, 122.8 MB
[runlim] sample:		23.4 time, 100.0 real, 136.1 MB
[runlim] sample:		33.2 time, 110.0 real, 136.3 MB
[runlim] sample:		43.2 time, 120.0 real, 153.3 MB
[runlim] sample:		53.1 time, 130.0 real, 158.2 MB
[runlim] sample:		16.1 time, 140.0 real, 123.7 MB
[runlim] sample:		26.0 time, 150.0 real, 124.9 MB
[runlim] sample:		35.9 time, 160.0 real, 133.3 MB
[runlim] sample:		45.7 time, 170.0 real, 134.8 MB
[runlim] sample:		55.6 time, 180.0 real, 141.9 MB
[runlim] sample:		65.6 time, 190.0 real, 142.0 MB
[runlim] sample:		10.5 time, 200.0 real, 122.4 MB
[runlim] sample:		20.5 time, 210.0 real, 138.3 MB
[runlim] sample:		30.2 time, 220.0 real, 146.6 MB
[runlim] sample:		40.1 time, 230.0 real, 147.1 MB
[runlim] sample:		50.0 time, 240.0 real, 151.8 MB
[runlim] sample:		59.9 time, 250.0 real, 154.6 MB
[runlim] sample:		10.5 time, 260.0 real, 112.8 MB
[runlim] sample:		20.4 time, 270.0 real, 124.1 MB
[runlim] sample:		30.3 time, 280.0 real, 127.7 MB
[runlim] sample:		40.1 time, 290.0 real, 129.3 MB
[runlim] sample:		50.0 time, 300.0 real, 140.2 MB
[runlim] sample:		59.8 time, 310.0 real, 143.2 MB
[runlim] sample:		10.5 time, 320.0 real, 118.2 MB
[runlim] sample:		20.4 time, 330.0 real, 138.3 MB
[runlim] sample:		30.2 time, 340.0 real, 145.1 MB
[runlim] sample:		40.1 time, 350.0 real, 145.8 MB
[runlim] sample:		50.0 time, 360.0 real, 146.5 MB
[runlim] sample:		59.7 time, 370.0 real, 155.3 MB
[runlim] sample:		10.5 time, 380.0 real, 117.4 MB
[runlim] sample:		20.5 time, 390.0 real, 127.6 MB
