Date,Method,Instance,N,K,BKS,Best,Avg,Gap(%),Time(s),Runs,n_customers,n_restarts,time_limit,is_valid,final_k
2026-01-21 09:19,V4_New,X-n115-k10,115,10,12747,13266,13266,4.07,101.94,1,114,5,60,False,32
2026-01-21 09:38,V4_New,X-n106-k14,106,14,26362,26845,26845,1.83,880.72,1,105,5,60,True,14
2026-01-21 09:49,V4_New,X-n120-k6,120,6,13332,14203,14203,6.53,111.12,1,119,5,60,True,6
2026-01-21 09:57,V4_New,X-n125-k30,125,30,55539,56820,56820,2.31,485.39,1,124,5,60,False,43
2026-01-21 22:34,V4_New,X-n106-k14,106,14,26362,26848,26848,1.84,1005.65,1,105,5,60,True,14
2026-01-21 22:54,V4_New,X-n110-k13,110,13,14971,-1,-1,-100.01,1200,1,,,,False,
2026-01-21 22:55,V4_New,X-n115-k10,115,10,12747,13266,13266,4.07,96.47,1,114,5,60,False,32
2026-01-21 22:57,V4_New,X-n120-k6,120,6,13332,14203,14203,6.53,112.53,1,119,5,60,True,6
2026-01-21 23:05,V4_New,X-n125-k30,125,30,55539,56820,56820,2.31,474.49,1,124,5,60,False,43
2026-01-21 23:25,V4_New,X-n129-k18,129,18,28940,-1,-1,-100,1200,1,,,,False,
2026-01-21 23:45,V4_New,X-n134-k13,134,13,10916,-1,-1,-100.01,1200,1,,,,False,
2026-01-21 23:47,V4_New,X-n139-k10,139,10,10594,14831,14831,39.99,112.09,1,138,5,60,True,10
2026-01-21 23:50,V4_New,X-n143-k7,143,7,15700,17549,17549,11.78,171.2,1,142,5,60,True,7
2026-01-21 23:56,V4_New,X-n148-k46,148,46,43448,44297,44297,1.95,406.25,1,147,5,60,False,52
2026-01-22 00:16,V4_New,X-n153-k22,153,22,21220,-1,-1,-100,1200,1,,,,False,
2026-01-22 00:19,V4_New,X-n157-k13,157,13,16876,20345,20345,?,136.74,1,156,5,60,True,13
2026-01-22 00:21,V4_New,X-n162-k11,162,11,14138,15595,15595,?,121.56,1,161,5,60,True,11
2026-01-22 00:41,V4_New,X-n167-k10,167,10,20557,-1,-1,?,1200,1,,,,False,
2026-01-22 01:01,V4_New,X-n172-k51,172,51,45607,-1,-1,?,1200,1,,,,False,
2026-01-22 01:21,V4_New,X-n176-k26,176,26,47812,-1,-1,?,1200,1,,,,False,
2026-01-22 01:32,V4_New,X-n181-k23,181,23,25569,25941,25941,?,652.7,1,180,5,60,True,23
2026-01-22 01:35,V4_New,X-n186-k15,186,15,24145,26949,26949,?,210.42,1,185,5,60,True,15
2026-01-22 01:37,V4_New,X-n190-k8,190,8,16980,18137,18137,?,125.31,1,189,5,60,True,8
2026-01-22 01:45,V4_New,X-n195-k51,195,51,44225,45494,45494,?,480.5,1,194,5,60,False,64
2026-01-22 02:05,V4_New,X-n200-k36,200,36,58578,-1,-1,?,1200,1,,,,False,
2026-01-22 02:25,V4_New,X-n204-k19,204,19,19565,-1,-1,?,1200,1,,,,False,
2026-01-22 02:45,V4_New,X-n209-k16,209,16,30656,-1,-1,?,1200,1,,,,False,
2026-01-22 02:48,V4_New,X-n214-k11,214,11,10856,12011,12011,?,162.16,1,213,5,60,False,60
2026-01-22 02:53,V4_New,X-n219-k73,219,73,117595,118188,118188,?,334.39,1,218,5,60,True,73
2026-01-22 03:13,V4_New,X-n223-k34,223,34,40437,-1,-1,?,1200,1,,,,False,
2026-01-22 03:33,V4_New,X-n228-k23,228,23,25742,-1,-1,?,1200,1,,,,False,
2026-01-22 03:53,V4_New,X-n233-k16,233,16,19230,-1,-1,?,1200,1,,,,False,
2026-01-22 03:56,V4_New,X-n237-k14,237,14,27042,31175,31175,?,141.62,1,236,5,60,True,14
2026-01-22 04:16,V4_New,X-n242-k48,242,48,82751,-1,-1,?,1200,1,,,,False,
2026-01-22 04:36,V4_New,X-n247-k50,247,50,37247,-1,-1,?,1200,1,,,,False,
2026-01-22 04:56,V4_New,X-n251-k28,251,28,38684,-1,-1,?,1200,1,,,,False,
2026-01-22 05:00,V4_New,X-n256-k16,256,16,18839,21054,21054,?,220.68,1,255,5,60,False,74
2026-01-22 05:02,V4_New,X-n261-k13,261,13,26558,31769,31769,?,165.53,1,260,5,60,True,13
2026-01-22 05:08,V4_New,X-n266-k58,266,58,75478,78509,78509,?,357.88,1,265,5,60,False,80
2026-01-22 05:28,V4_New,X-n270-k35,270,35,35291,-1,-1,?,1200,1,,,,False,
2026-01-22 05:48,V4_New,X-n275-k28,275,28,21245,-1,-1,?,1200,1,,,,False,
2026-01-22 06:08,V4_New,X-n280-k17,280,17,33503,-1,-1,?,1200,1,,,,False,
2026-01-22 06:11,V4_New,X-n284-k15,284,15,20215,23918,23918,?,165.54,1,283,5,60,True,15
2026-01-22 06:31,V4_New,X-n289-k60,289,60,95151,-1,-1,?,1200,1,,,,False,
2026-01-22 06:51,V4_New,X-n294-k50,294,50,47161,-1,-1,?,1200,1,,,,False,
2026-01-22 07:11,V4_New,X-n298-k31,298,31,34231,-1,-1,?,1200,1,,,,False,
2026-01-22 07:31,V4_New,X-n303-k21,303,21,21736,-1,-1,?,1200,1,,,,False,
2026-01-22 07:51,V4_New,X-n308-k13,308,13,25859,-1,-1,?,1200,1,,,,False,
2026-01-22 08:11,V4_New,X-n313-k71,313,71,94043,-1,-1,?,1200,1,,,,False,
2026-01-22 08:19,V4_New,X-n317-k53,317,53,?,85166,85166,?,457.79,1,316,5,60,True,53
2026-01-22 08:39,V4_New,X-n322-k28,322,28,?,-1,-1,?,1200,1,,,,False,
2026-01-22 08:43,V4_New,X-n327-k20,327,20,?,32075,32075,?,269.16,1,326,5,60,True,20
2026-01-22 08:47,V4_New,X-n331-k15,331,15,?,36740,36740,?,232.45,1,330,5,60,True,15
