Date,Method,Instance,N,K,BKS,Best,Avg,Gap(%),Time(s),Runs,n_customers,n_restarts,time_limit,is_valid,final_k
2026-02-25 01:14,V4_Refactored,A-n32-k5,32,5,784,784,784,0,54.23,10,31,20,30,True,5
2026-02-25 01:19,V4_Refactored,A-n33-k5,33,5,643,661,661,2.8,32.97,10,32,20,30,True,5
2026-02-25 02:44,V4_Refactored,A-n33-k6,33,6,661,742,742,12.25,508.84,10,32,20,30,True,6
2026-02-25 02:50,V4_Refactored,A-n34-k5,34,5,778,778,778,0,37.89,10,33,20,30,True,5
2026-02-25 02:57,V4_Refactored,A-n36-k5,36,5,799,799,799,0,37.42,10,35,20,30,True,5
2026-02-25 03:02,V4_Refactored,A-n37-k5,37,5,669,669,669,0,33.34,10,36,20,30,True,5
2026-02-25 03:08,V4_Refactored,A-n37-k6,37,6,949,949,949,0,35.63,10,36,20,30,False,10
2026-02-25 03:14,V4_Refactored,A-n38-k5,38,5,730,730,730,0,33.76,10,37,20,30,False,11
2026-02-25 03:20,V4_Refactored,A-n39-k5,39,5,822,822,822,0,35.24,10,38,20,30,True,5
2026-02-25 03:25,V4_Refactored,A-n39-k6,39,6,831,831,831,0,32.55,10,38,20,30,True,6
2026-02-25 03:31,V4_Refactored,A-n44-k6,44,6,937,942,942,0.53,34.35,10,43,20,30,False,13
2026-02-25 03:42,V4_Refactored,A-n45-k6,45,6,944,953,953,0.95,65.75,10,44,20,30,False,12
2026-02-25 03:47,V4_Refactored,A-n45-k7,45,7,1146,1148,1148,0.17,34.42,10,44,20,30,True,7
2026-02-25 04:02,V4_Refactored,A-n46-k7,46,7,1044,915,915,-12.36,87.63,10,45,20,30,True,7
2026-02-25 04:08,V4_Refactored,A-n48-k7,48,7,1073,1090,1090,1.58,37.53,10,47,20,30,True,7
2026-02-25 04:24,V4_Refactored,A-n53-k7,53,7,1010,1017,1017,0.69,95.54,10,52,10,60,False,15
2026-02-25 04:42,V4_Refactored,A-n54-k7,54,7,1167,1172,1172,0.43,106.7,10,53,10,60,False,15
2026-02-25 04:57,V4_Refactored,A-n55-k9,55,9,1073,1074,1074,0.09,92.27,10,54,10,60,True,9
2026-02-25 05:09,V4_Refactored,A-n60-k9,60,9,1354,1358,1358,0.3,68.59,10,59,10,60,True,9
2026-02-25 05:26,V4_Refactored,A-n61-k9,61,9,1034,1035,1035,0.1,103.87,10,60,10,60,False,17
2026-02-25 05:38,V4_Refactored,A-n62-k8,62,8,1288,1309,1309,1.63,70.96,10,61,10,60,False,18
2026-02-25 05:54,V4_Refactored,A-n63-k10,63,10,1314,1320,1320,0.46,95.57,10,62,10,60,False,18
2026-02-25 06:05,V4_Refactored,A-n63-k9,63,9,1616,1657,1657,2.54,69.35,10,62,10,60,False,18
2026-02-25 06:40,V4_Refactored,A-n64-k9,64,9,1401,1431,1431,2.14,206.05,10,63,10,60,True,9
2026-02-25 06:52,V4_Refactored,A-n65-k9,65,9,1174,1184,1184,0.85,72.44,10,64,10,60,False,19
2026-02-25 07:04,V4_Refactored,A-n69-k9,69,9,1159,1175,1175,1.38,70.1,10,68,10,60,True,9
2026-02-25 07:18,V4_Refactored,A-n80-k10,80,10,1763,1818,1818,3.12,84.4,10,79,10,60,False,24
2026-02-25 07:23,V4_Refactored,B-n31-k5,31,5,672,672,672,0,32,10,30,20,30,True,5
2026-02-25 07:30,V4_Refactored,B-n34-k5,34,5,788,788,788,0,43.49,10,33,20,30,True,5
2026-02-25 07:37,V4_Refactored,B-n35-k5,35,5,955,955,955,0,39.81,10,34,20,30,True,5
2026-02-25 07:58,V4_Refactored,B-n38-k6,38,6,805,805,805,0,128.15,10,37,20,30,True,6
2026-02-25 08:04,V4_Refactored,B-n39-k5,39,5,549,549,549,0,36.65,10,38,20,30,True,5
2026-02-25 08:10,V4_Refactored,B-n41-k6,41,6,829,832,832,0.36,34.8,10,40,20,30,False,11
2026-02-25 08:16,V4_Refactored,B-n43-k6,43,6,742,742,742,0,35.06,10,42,20,30,True,6
2026-02-25 08:22,V4_Refactored,B-n44-k7,44,7,909,909,909,0,39.03,10,43,20,30,True,7
2026-02-25 08:33,V4_Refactored,B-n45-k5,45,5,751,751,751,0,66.43,10,44,20,30,False,13
2026-02-25 08:39,V4_Refactored,B-n45-k6,45,6,678,693,693,2.21,33.58,10,44,20,30,False,13
2026-02-25 08:45,V4_Refactored,B-n50-k7,50,7,741,741,741,0,35.59,10,49,20,30,True,7
2026-02-25 09:16,V4_Refactored,B-n50-k8,50,8,1312,1323,1323,0.84,184.47,10,49,20,30,True,8
2026-02-25 09:22,V4_Refactored,B-n51-k7,51,7,1032,1016,1016,-1.55,37.14,10,50,20,30,False,13
2026-02-25 09:33,V4_Refactored,B-n52-k7,52,7,747,747,747,0,65.54,10,51,10,60,True,7
2026-02-25 09:45,V4_Refactored,B-n56-k7,56,7,898,713,713,-20.6,75.7,10,55,10,60,True,7
2026-02-25 09:57,V4_Refactored,B-n57-k7,57,7,1099,1140,1140,3.73,69.32,10,56,10,60,False,16
